Date,Open,High,Low,Close,Adj Close,Volume
2024-03-22,39150.000000,39850.000000,39000.000000,39400.000000,39400.000000,180060
2024-03-25,39400.000000,39450.000000,38800.000000,39250.000000,39250.000000,124420
2024-03-26,39550.000000,39800.000000,39100.000000,39200.000000,39200.000000,207306
2024-03-27,38700.000000,39700.000000,38550.000000,39500.000000,39500.000000,131803
2024-03-28,39550.000000,39900.000000,38900.000000,38900.000000,38900.000000,183355
2024-03-29,38800.000000,39250.000000,38250.000000,38500.000000,38500.000000,178669
2024-04-01,38700.000000,39350.000000,38650.000000,39100.000000,39100.000000,139740
2024-04-02,38600.000000,38900.000000,37850.000000,38050.000000,38050.000000,257850
2024-04-03,38100.000000,38100.000000,37550.000000,37650.000000,37650.000000,153632
2024-04-04,37900.000000,38150.000000,37200.000000,37250.000000,37250.000000,136195
2024-04-05,36850.000000,37350.000000,36700.000000,36700.000000,36700.000000,181144
2024-04-08,36550.000000,37250.000000,35900.000000,36900.000000,36900.000000,218220
2024-04-09,37250.000000,38200.000000,36850.000000,36950.000000,36950.000000,205501
2024-04-11,36400.000000,36800.000000,35500.000000,35500.000000,35500.000000,354945
2024-04-12,35500.000000,35600.000000,34800.000000,34800.000000,34800.000000,268886
2024-04-15,34000.000000,34550.000000,33600.000000,34200.000000,34200.000000,217416
2024-04-16,33900.000000,34200.000000,33150.000000,33250.000000,33250.000000,235103
2024-04-17,33500.000000,33800.000000,32600.000000,32700.000000,32700.000000,200624
2024-04-18,32700.000000,33850.000000,32700.000000,33750.000000,33750.000000,284212
2024-04-19,33200.000000,33450.000000,32450.000000,33200.000000,33200.000000,276026
2024-04-22,33900.000000,34050.000000,33300.000000,33850.000000,33850.000000,191948
2024-04-23,33700.000000,34650.000000,33650.000000,33850.000000,33850.000000,168485
2024-04-24,34150.000000,34500.000000,33950.000000,34100.000000,34100.000000,125914
2024-04-25,33800.000000,33800.000000,33150.000000,33450.000000,33450.000000,206055
2024-04-26,33800.000000,33900.000000,33400.000000,33750.000000,33750.000000,135360
2024-04-29,34050.000000,35300.000000,33850.000000,35100.000000,35100.000000,223784
2024-04-30,34950.000000,35500.000000,34850.000000,35300.000000,35300.000000,144578
2024-05-02,34950.000000,35400.000000,34550.000000,34950.000000,34950.000000,110713
2024-05-03,35200.000000,36100.000000,35200.000000,35900.000000,35900.000000,204874
